Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-04T08:17:07.480Z","","","On-Demand","gpt-5.5-medium","No","0","199930","2056704","3871","2260505","2.14"
"2026-06-03T14:29:55.823Z","","","On-Demand","gpt-5.5-medium","No","0","20493","1335296","3286","1359075","0.87"
"2026-06-03T14:18:23.936Z","","","On-Demand","gpt-5.5-medium","No","0","11909","1280512","2748","1295169","0.78"
"2026-06-03T14:02:06.055Z","","","On-Demand","gpt-5.5-medium","No","0","13370","1736192","2582","1752144","1.01"
"2026-06-03T14:01:28.833Z","","","On-Demand","gpt-5.5-medium","No","0","158418","8704","880","168002","0.82"
"2026-06-03T13:43:36.474Z","","","On-Demand","gpt-5.5-medium","No","0","28318","1282048","4001","1314367","0.90"
"2026-06-03T13:38:27.107Z","","","On-Demand","gpt-5.5-medium","No","0","24737","1174528","4815","1204080","0.86"
"2026-06-03T13:31:02.668Z","","","On-Demand","gpt-5.5-medium","No","0","11032","963072","3527","977631","0.64"
"2026-06-03T13:29:57.229Z","","","On-Demand","gpt-5.5-medium","No","0","15344","117760","175","133279","0.14"
"2026-06-03T13:26:39.191Z","","","On-Demand","gpt-5.5-medium","No","0","19848","1413632","5344","1438824","0.97"
"2026-06-03T13:25:52.361Z","","","On-Demand","gpt-5.5-medium","No","0","9514","108032","847","118393","0.13"
"2026-06-03T13:20:21.213Z","","","On-Demand","gpt-5.5-medium","No","0","13282","678912","2483","694677","0.48"
"2026-06-03T13:17:21.664Z","","","On-Demand","gpt-5.5-medium","No","0","3876","317440","750","322066","0.20"
"2026-06-03T13:13:15.534Z","","","On-Demand","gpt-5.5-medium","No","0","27184","78336","44","105564","0.18"
"2026-06-03T13:09:31.202Z","","","On-Demand","gpt-5.5-medium","No","0","34812","1633280","13220","1681312","1.39"
"2026-06-03T13:08:37.150Z","","","On-Demand","gpt-5.5-medium","No","0","1283","154112","1088","156483","0.12"
"2026-06-03T13:06:53.204Z","","","On-Demand","gpt-5.5-medium","No","0","48593","28672","243","77508","0.26"
"2026-06-03T12:57:54.281Z","","","On-Demand","gpt-5.5-medium","No","0","53193","482816","13509","549518","0.91"
"2026-06-03T12:56:17.804Z","","","On-Demand","gpt-5.5-medium","No","0","5098","22528","1606","29232","0.08"
"2026-06-03T12:52:25.115Z","","","On-Demand","gpt-5.5-medium","No","0","28926","65536","287","94749","0.19"
"2026-06-02T17:32:12.381Z","","","On-Demand","gpt-5.5-medium","No","0","44751","138240","97","183088","0.30"
"2026-06-02T17:27:06.638Z","","","On-Demand","gpt-5.5-medium","No","0","677423","3473920","13776","4165119","5.54"
"2026-06-02T16:33:13.255Z","","","On-Demand","gpt-5.5-medium","No","0","22304","116224","95","138623","0.17"
"2026-06-02T16:29:47.368Z","","","On-Demand","gpt-5.5-medium","No","0","28513","1970688","6642","2005843","1.33"
"2026-06-02T16:25:21.151Z","","","On-Demand","gpt-5.5-medium","No","0","408","115712","198","116318","0.07"
"2026-06-02T16:24:31.401Z","","","On-Demand","gpt-5.5-medium","No","0","652","115200","219","116071","0.07"
"2026-06-02T16:22:23.171Z","","","On-Demand","gpt-5.5-medium","No","0","102693","12800","283","115776","0.53"
"2026-06-02T15:06:34.129Z","","","On-Demand","gpt-5.5-medium","No","0","49976","2960384","15071","3025431","2.18"
"2026-06-02T15:04:46.114Z","","","On-Demand","gpt-5.5-medium","No","0","64351","12800","607","77758","0.35"
"2026-06-02T12:46:25.589Z","","","On-Demand","gpt-5.5-medium","No","0","68453","158208","1639","228300","0.47"
"2026-06-02T11:55:46.781Z","","","On-Demand","gpt-5.5-medium","No","0","41785","32768","308","74861","0.23"
"2026-06-02T11:47:14.856Z","","","On-Demand","gpt-5.5-medium","No","0","68522","469504","4130","542156","0.70"
"2026-06-01T19:08:08.773Z","","","On-Demand","gpt-5.5-medium","No","0","14439","38400","461","53300","0.11"
"2026-06-01T18:55:57.371Z","","","On-Demand","gpt-5.5-medium","No","0","48813","79360","732","128905","0.31"
"2026-06-01T18:48:15.074Z","","","On-Demand","gpt-5.5-medium","No","0","58108","2145792","18774","2222674","1.93"
"2026-06-01T18:46:31.085Z","","","On-Demand","gpt-5.5-medium","No","0","32112","46592","442","79146","0.20"
"2026-06-01T18:44:32.046Z","","","On-Demand","gpt-5.5-medium","No","0","59859","262144","2616","324619","0.51"
"2026-06-01T18:39:53.610Z","","","On-Demand","gpt-5.5-medium","No","0","38452","28160","458","67070","0.22"
"2026-06-01T18:27:28.469Z","","","On-Demand","claude-opus-4-8-thinking-high","No","24397","40","4925431","18675","4968543","3.08"
"2026-06-01T18:24:34.253Z","","","On-Demand","claude-opus-4-8-thinking-high","No","731","2","232302","494","233529","0.13"
"2026-06-01T18:23:28.779Z","","","On-Demand","claude-opus-4-8-thinking-high","No","733","4","463397","929","465063","0.26"
"2026-06-01T18:21:48.129Z","","","On-Demand","claude-opus-4-8-thinking-high","No","1675","2","229894","180","231751","0.13"
"2026-06-01T18:13:11.936Z","","","On-Demand","claude-opus-4-8-thinking-high","No","229894","50","5067240","31495","5328679","4.76"
"2026-05-31T21:05:35.517Z","","","On-Demand","claude-opus-4-8-thinking-high","No","1320","4","349827","920","352071","0.21"
